"team_api_id","team_long_name","BuildUpPlay","ChanceCreation","Defence","Goal"
9804,"Torino",209,189,145,125
8600,"Udinese",205,199,160,236
8194,"Fortuna Düsseldorf",198,190,169,24
8033,"Podbeskidzie Bielsko-Biala",193,166,152,85
8245,"Korona Kielce",192,169,172,149
8024,"Widzew Lódz",190,185,158,77
8244,"Widzew Lódz",190,185,158,27
208931,"Carpi",190,160,141,23
9830,"FC Nantes",189,160,152,79
7943,"Sassuolo",188,186,138,73
8543,"Lazio",188,220,190,239
8533,"Chievo Verona",187,170,165,144
8655,"Blackburn Rovers",185,185,160,98
8485,"Aberdeen",184,210,200,186
8654,"West Ham United",184,171,140,195
10233,"Genoa",184,182,154,249
8028,"Piast Gliwice",183,169,195,115
8302,"Sevilla FC",183,206,195,285
8483,"Blackpool",183,205,210,30
8537,"Livorno",183,172,163,42
9776,"Eintracht Braunschweig",183,195,157,18
8636,"Inter",182,203,165,280
10212,"CS Marítimo",182,186,144,171
8226,"TSG 1899 Hoffenheim",180,191,200,222
9875,"Napoli",180,215,165,303
9925,"Celtic",180,205,200,389
6269,"Novara",179,172,151,19
8262,"SV Darmstadt 98",179,174,129,15
9768,"Sporting CP",178,204,174,224
9772,"SL Benfica",178,185,175,321
9800,"St. Mirren",178,210,200,137
9905,"1. FSV Mainz 05",178,185,170,171
2182,"Lech Poznan",176,196,160,215
9764,"Gil Vicente FC",176,152,149,61
8177,"Hertha BSC Berlin",175,172,155,119
8460,"SC Paderborn 07",175,168,145,21
8530,"Catania",175,178,147,155
9831,"OGC Nice",175,165,210,198
7794,"SC Bastia",174,156,210,101
7842,"Estoril Praia",174,139,150,96
8658,"Birmingham City",174,210,210,38
8697,"SV Werder Bremen",174,216,205,230
9847,"Paris Saint-Germain",174,191,210,332
158085,"FC Arouca",174,160,113,56
9773,"FC Porto",173,196,178,295
9826,"Crystal Palace",173,205,185,58
8661,"RCD Mallorca",172,163,156,147
9927,"Motherwell",172,205,200,228
10192,"BSC Young Boys",172,202,170,319
8581,"Levante UD",171,182,155,145
8650,"Liverpool",171,180,172,294
8722,"1. FC Köln",171,165,170,116
9938,"Dundee United",171,205,200,232
9989,"Lierse SK",171,169,159,69
10268,"Elche CF",171,165,158,32
8564,"Milan",170,177,164,271
8721,"VfL Wolfsburg",170,210,171,274
9789,"Borussia Dortmund",170,194,178,298
9931,"FC Basel",170,186,180,344
10252,"Aston Villa",170,185,145,179
8066,"Inverness Caledonian Thistle",169,174,139,177
8406,"FC Augsburg",169,188,161,112
8592,"Olympique de Marseille",169,210,200,254
9747,"En Avant de Guingamp",169,170,145,75
9910,"RC Celta de Vigo",169,179,169,105
8344,"Cardiff City",168,210,210,20
8540,"Palermo",168,165,152,225
8576,"AC Ajaccio",168,180,140,64
8583,"AJ Auxerre",168,164,145,98
9829,"AS Monaco",168,165,205,153
9860,"Heart of Midlothian",168,210,200,189
10269,"VfB Stuttgart",168,200,175,219
8350,"1. FC Kaiserslautern",167,185,210,37
8357,"SpVgg Greuther Fürth",167,170,170,10
8529,"Cagliari",167,196,187,181
8559,"Bolton Wanderers",167,185,154,104
8597,"Kilmarnock",167,205,200,188
9851,"Stade Rennais FC",167,195,210,205
10214,"CD Nacional",167,165,156,187
7878,"Granada CF",166,200,170,100
9912,"DSC Arminia Bielefeld",166,165,138,16
8372,"SD Eibar",165,179,142,46
8588,"RC Lens",165,180,200,61
9853,"AS Saint-Étienne",165,175,148,223
10199,"FC Luzern",165,175,153,239
8197,"Leicester City",164,185,210,63
8295,"Karlsruher SC",164,205,170,18
9790,"Hamburger SV",164,200,175,178
9857,"Bologna",164,175,135,155
9874,"FC Sochaux-Montbéliard",164,184,165,144
9911,"VfL Bochum",164,172,172,41
9956,"Grasshopper Club Zürich",164,184,160,234
8690,"Reggio Calabria",163,186,140,23
9867,"CD Tenerife",163,180,174,26
10218,"Excelsior",163,162,106,90
8030,"Lechia Gdansk",162,183,205,155
8467,"St. Johnstone FC",162,150,142,167
8560,"Real Sociedad",162,171,171,186
10217,"ADO Den Haag",162,181,173,204
10249,"Montpellier Hérault SC",162,160,210,193
8152,"FC St. Pauli",161,190,185,21
8521,"Stade Brestois 29",161,168,210,60
9748,"Olympique Lyonnais",161,185,200,289
9985,"Standard de Liège",161,182,205,199
6433,"Go Ahead Eagles",160,132,141,41
8234,"FC Ingolstadt 04",160,151,140,22
9817,"Watford",160,205,205,20
9873,"Valenciennes FC",160,188,155,162
9986,"Sporting Charleroi",160,148,210,113
9998,"RAEC Mons",160,168,138,76
8121,"Angers SCO",159,180,140,20
9994,"Sporting Lokeren",159,154,200,149
1957,"Jagiellonia Bialystok",158,163,210,176
8689,"FC Lorient",158,180,200,214
9941,"Toulouse FC",158,165,140,194
7819,"SM Caen",157,165,205,109
7841,"Rio Ave FC",157,180,153,131
8178,"Bayer 04 Leverkusen",157,210,200,270
8455,"Chelsea",157,200,168,333
9783,"RC Deportivo de La Coruña",157,187,154,144
9807,"CF Os Belenenses",157,160,135,83
9876,"Hellas Verona",157,173,169,83
9891,"Frosinone",157,156,193,18
9906,"Atlético Madrid",157,206,160,321
9976,"Bari",157,193,161,42
10243,"FC Zürich",157,165,163,241
4087,"Évian Thonon Gaillard FC",156,180,165,105
9930,"FC Aarau",156,181,150,89
108893,"AC Arles-Avignon",156,141,158,14
8573,"KV Oostende",155,140,133,62
10179,"FC Sion",155,177,146,220
8191,"Burnley",154,210,205,39
8394,"Real Zaragoza",154,166,158,95
8472,"Sunderland",154,195,165,184
9746,"Le Havre AC",154,180,168,17
9836,"Dijon FCO",154,165,149,23
9837,"Stade de Reims",154,165,140,98
10229,"AZ",154,185,184,279
10235,"Feyenoord",154,165,160,291
10278,"Hércules Club de Fútbol",154,178,160,27
1773,"Oud-Heverlee Leuven",153,157,137,74
6391,"GFC Ajaccio",153,179,146,23
8165,"1. FC Nürnberg",153,180,162,108
8548,"Rangers",153,210,200,177
8613,"Boavista FC",153,128,148,30
8633,"Real Madrid CF",153,200,178,505
8640,"PSV",153,200,167,370
8649,"Ross County FC",153,153,143,97
8686,"Roma",153,208,155,299
9761,"NAC Breda",153,141,143,170
9810,"Eintracht Frankfurt",153,165,151,176
9869,"Real Sporting de Gijón",153,185,195,119
10281,"Real Valladolid",153,172,161,94
8550,"FC Metz",152,175,150,26
8639,"LOSC Lille",152,184,180,270
9865,"UD Almería",152,180,193,121
9878,"Pescara",152,180,145,15
9908,"FC Utrecht",152,182,159,245
10167,"Parma",152,176,166,151
10191,"FC Thun",152,166,145,175
10261,"Newcastle United",152,195,161,199
8358,"SC Freiburg",151,160,158,133
8667,"Hull City",151,195,210,79
8464,"N.E.C.",150,158,146,174
8525,"Willem II",150,166,153,140
9996,"Royal Excel Mouscron",150,150,140,28
10215,"Académica de Coimbra",150,172,151,136
10228,"SC Heerenveen",150,171,183,267
274581,"Royal Excel Mouscron",150,150,140,41
8635,"RSC Anderlecht",149,182,190,247
10238,"Vitória Setúbal",149,165,140,135
8462,"Portsmouth",148,195,150,50
8479,"RC Recreativo",148,140,151,17
9987,"KRC Genk",148,182,205,205
10001,"KVC Westerlo",148,167,210,124
10242,"ES Troyes AC",148,150,140,38
10251,"Hibernian",148,200,200,136
2033,"S.C. Olhanense",147,165,155,70
6547,"FC Penafiel",147,146,121,17
8306,"UD Las Palmas",147,187,171,25
8696,"Racing Santander",147,205,168,81
9791,"Heracles Almelo",147,173,169,235
10000,"SV Zulte-Waregem",147,153,200,176
7869,"Córdoba CF",146,171,129,12
8481,"AS Nancy-Lorraine",146,172,210,103
8524,"Atalanta",146,170,165,170
8558,"RCD Espanyol",146,196,180,205
10190,"FC St. Gallen",146,157,155,153
8027,"Zawisza Bydgoszcz",145,168,143,43
8277,"Vitesse",145,173,180,234
8534,"Empoli",145,186,164,48
8603,"Real Betis Balompié",145,206,165,116
8659,"West Bromwich Albion",145,195,210,177
9984,"KSV Cercle Brugge",145,200,195,119
10264,"SC Braga",145,166,150,239
8528,"Wigan Athletic",144,190,165,106
8549,"Middlesbrough",144,190,147,17
8551,"Siena",144,183,160,75
9798,"Reading",144,210,200,23
9904,"Hannover 96",144,175,210,218
8371,"CA Osasuna",143,193,177,137
8426,"Partick Thistle F.C.",143,160,143,74
8429,"Hamilton Academical FC",143,200,195,100
8569,"GKS Belchatów",143,175,200,114
9880,"Cesena",143,170,145,51
10189,"FC Schalke 04",143,195,185,252
6403,"FC Paços de Ferreira",142,170,150,166
8284,"Dundee FC",142,158,154,72
8674,"FC Groningen",142,177,149,225
9879,"Fulham",142,190,138,173
9991,"KAA Gent",142,184,166,213
10219,"RKC Waalwijk",142,159,150,92
7730,"FC Lausanne-Sports",141,164,165,52
8370,"Rayo Vallecano",141,161,178,139
8673,"Legia Warszawa",141,170,195,240
9824,"FC Vaduz",141,137,133,53
9858,"Brescia",141,180,155,22
10172,"Queens Park Rangers",141,210,210,60
8019,"Górnik Leczna",140,139,149,43
8025,"Slask Wroclaw",140,165,180,176
9825,"Arsenal",140,150,170,306
1601,"Ruch Chorzów",139,186,175,148
8342,"Club Brugge KV",139,170,200,235
8348,"Moreirense FC",139,144,138,53
8678,"Bournemouth",139,200,210,23
9827,"Girondins de Bordeaux",139,190,195,228
9850,"Norwich City",138,195,200,96
10194,"Stoke City",138,195,153,204
6413,"PEC Zwolle",137,165,181,124
8388,"CD Numancia",137,160,158,23
8668,"Everton",137,180,180,258
7788,"SC Cambuur",136,159,138,67
8602,"Wolverhampton Wanderers",136,210,210,62
10265,"Wisla Kraków",135,183,205,168
6631,"FC Dordrecht",134,176,164,15
8023,"Pogon Szczecin",134,185,158,85
8203,"KV Mechelen",134,150,190,162
10260,"Manchester United",134,200,163,338
8021,"Zaglebie Lubin",133,192,210,116
8586,"Tottenham Hotspur",133,210,181,255
9803,"Roda JC Kerkrade",133,159,146,192
8475,"Waasland-Beveren",132,140,114,50
7844,"Vitória Guimarães",131,179,177,156
8315,"Athletic Club de Bilbao",131,184,170,250
8611,"FC Twente",131,172,197,289
10003,"Swansea City",131,210,210,135
9882,"Sampdoria",130,180,175,190
8466,"Southampton",129,205,210,134
8571,"KV Kortrijk",129,159,185,163
9864,"Málaga CF",129,191,164,222
8398,"FC Energie Cottbus",126,175,206,19
10205,"Villarreal CF",126,161,165,218
2186,"Cracovia",125,168,205,144
8456,"Manchester City",123,210,180,365
8634,"FC Barcelona",122,175,195,495
8535,"Fiorentina",121,172,184,246
8305,"Getafe CF",117,155,164,202
8593,"Ajax",117,199,193,360
9788,"Borussia Mönchengladbach",116,185,160,242
10267,"Valencia CF",116,185,175,299
9885,"Juventus",105,195,169,307
9823,"FC Bayern Munich",97,205,184,382
2183,"P. Warszawa",NA,180,175,96
4170,"US Boulogne Cote D'Opale",NA,165,200,19
6351,"KAS Eupen",NA,160,155,15
6421,"Leixões SC",NA,165,90,35
6493,"AC Bellinzona",NA,175,150,74
7955,"Neuchâtel Xamax",NA,190,150,106
8020,"Polonia Bytom",NA,150,185,149
8031,"Polonia Bytom",NA,150,185,55
8242,"Odra Wodzislaw",NA,155,205,29
8322,"Arka Gdynia",NA,150,205,52
8457,"Dunfermline Athletic",NA,168,148,22
8526,"De Graafschap",NA,153,137,81
8596,"Falkirk",NA,200,200,36
8614,"Sparta Rotterdam",NA,140,90,44
8682,"Le Mans FC",NA,195,200,40
9771,"União de Leiria, SAD",NA,150,154,45
9777,"Servette FC",NA,175,170,41
9809,"Naval 1° de Maio",NA,165,121,37
9839,"VVV-Venlo",NA,164,155,101
9855,"Grenoble Foot 38",NA,195,195,33
9868,"Xerez Club Deportivo",NA,159,165,20
9888,"Lecce",NA,175,165,68
9993,"Beerschot AC",NA,185,210,112
9997,"Sint-Truidense VV",NA,154,150,70
9999,"KSV Roeselare",NA,125,205,36
10211,"SC Beira Mar",NA,165,155,51
